date,amount,merchant,description
2024-09-26,404.48,Apple,MacBook purchase for work
2024-11-03,865.71,Staples,Office supplies
2024-10-12,286.33,Best Buy,TV and electronics
2025-02-27,514.31,Target,Clothing and accessories
2025-01-09,981.34,Target,Clothing and accessories
2024-11-06,337.84,Amazon,Books and home items
2025-03-24,124.19,Delta Airlines,Flight to business conference
2025-02-25,186.78,Staples,Office supplies
2024-11-13,47.87,Staples,Office supplies
2025-04-16,440.22,Netflix,Streaming subscription
2025-07-05,788.56,Shell,Gas for car
2025-03-20,610.15,Walmart,Groceries and household supplies
2025-04-10,124.49,Amazon,Books and home items
2025-02-22,198.18,Netflix,Streaming subscription
2025-05-22,711.7,Delta Airlines,Flight to business conference
2025-06-03,524.72,Delta Airlines,Flight to business conference
2025-05-09,543.07,Best Buy,TV and electronics
2024-12-04,940.86,Shell,Gas for car
2025-03-06,673.92,Shell,Gas for car
2024-09-14,436.98,Coursera,Online business course
2024-12-26,921.56,Target,Clothing and accessories
2024-10-05,320.78,Netflix,Streaming subscription
2024-10-24,133.38,Southwest Airlines,Flight for vacation
2025-02-11,512.05,Staples,Office supplies
2025-02-07,414.31,Target,Clothing and accessories
2024-11-12,700.24,Walmart,Groceries and household supplies
2024-10-28,136.01,Amazon,Books and home items
2024-09-16,668.28,Walmart,Groceries and household supplies
2025-07-06,680.54,Walmart,Groceries and household supplies
2024-12-30,619.36,WeWork,Coworking space rental
2025-02-13,412.01,Staples,Office supplies
2025-02-24,10.4,Southwest Airlines,Flight for vacation
2025-01-23,218.08,Staples,Office supplies
2024-09-18,584.18,Best Buy,TV and electronics
2024-11-17,329.03,Target,Clothing and accessories
2024-08-11,447.74,Spotify,Monthly subscription
2024-11-24,516.06,Apple,MacBook purchase for work
2024-11-11,902.17,Best Buy,TV and electronics
2025-06-21,738.6,Best Buy,TV and electronics
2024-08-17,93.95,Target,Clothing and accessories
2024-08-29,667.22,Amazon,Books and home items
2025-06-10,341.84,Netflix,Streaming subscription
2025-04-22,952.48,Southwest Airlines,Flight for vacation
2024-09-12,676.07,Apple,MacBook purchase for work
2025-04-15,808.5,Apple,MacBook purchase for work
2025-07-11,34.18,WeWork,Coworking space rental
2024-08-01,984.1,Apple,MacBook purchase for work
2025-06-30,851.24,Netflix,Streaming subscription
2024-09-01,460.86,Uber,Ride to office
2024-08-25,579.91,Target,Clothing and accessories
2024-12-15,699.39,Shell,Gas for car
2025-07-13,405.66,Spotify,Monthly subscription
2025-07-26,659.5,WeWork,Coworking space rental
2024-11-09,893.73,Delta Airlines,Flight to business conference
2024-08-08,772.35,Southwest Airlines,Flight for vacation
2025-03-23,780.64,Uber,Ride to office
2024-08-20,184.13,Apple,MacBook purchase for work
2025-01-17,522.78,Shell,Gas for car
2025-05-14,561.83,Delta Airlines,Flight to business conference
2025-02-03,130.15,Southwest Airlines,Flight for vacation
2025-07-26,803.4,WeWork,Coworking space rental
2024-09-22,535.82,Target,Clothing and accessories
2025-07-08,599.5,Amazon,Books and home items
2025-01-06,892.51,Best Buy,TV and electronics
2025-04-23,816.86,Netflix,Streaming subscription
2025-03-10,432.47,Amazon,Books and home items
2025-03-13,451.45,Amazon,Books and home items
2024-12-14,746.22,WeWork,Coworking space rental
2025-06-05,455.57,Spotify,Monthly subscription
2025-01-05,254.77,Best Buy,TV and electronics
2024-11-05,284.54,Target,Clothing and accessories
2025-06-25,526.09,Best Buy,TV and electronics
2024-12-10,246.85,Target,Clothing and accessories
2025-06-15,86.71,Spotify,Monthly subscription
2025-04-15,242.15,Staples,Office supplies
2024-12-20,326.51,Coursera,Online business course
2025-05-30,89.77,Amazon,Books and home items
2025-06-01,238.95,WeWork,Coworking space rental
2025-02-17,161.28,Shell,Gas for car
2025-02-28,73.59,Apple,MacBook purchase for work
2025-03-15,337.57,Walmart,Groceries and household supplies
2025-04-21,421.62,Spotify,Monthly subscription
2025-01-08,834.56,Apple,MacBook purchase for work
2025-07-05,905.79,Walmart,Groceries and household supplies
2024-12-16,946.6,Netflix,Streaming subscription
2024-11-23,858.16,Delta Airlines,Flight to business conference
2025-01-29,579.93,Best Buy,TV and electronics
2025-01-09,15.84,Spotify,Monthly subscription
2025-01-10,305.63,Coursera,Online business course
2024-12-26,854.91,Walmart,Groceries and household supplies
2024-09-07,424.83,Southwest Airlines,Flight for vacation
2024-12-21,737.29,Shell,Gas for car
2024-08-02,607.22,Best Buy,TV and electronics
2025-03-16,493.35,Apple,MacBook purchase for work
2024-12-07,441.48,Staples,Office supplies
2025-01-09,394.97,Delta Airlines,Flight to business conference
2024-10-14,682.35,Target,Clothing and accessories
2025-06-14,726.94,Walmart,Groceries and household supplies
2025-01-19,472.72,Southwest Airlines,Flight for vacation
2024-08-21,980.91,WeWork,Coworking space rental
2024-11-01,36.7,Amazon,Books and home items
2025-04-10,595.97,Walmart,Groceries and household supplies
2024-12-25,36.83,Target,Clothing and accessories
2024-11-17,434.33,Target,Clothing and accessories
2024-09-21,467.08,Southwest Airlines,Flight for vacation
2024-12-07,267.55,Delta Airlines,Flight to business conference
2025-01-14,219.54,Coursera,Online business course
2024-10-05,344.13,Coursera,Online business course
2025-04-09,285.47,Walmart,Groceries and household supplies
2025-02-27,427.35,Southwest Airlines,Flight for vacation
2025-07-01,91.09,Southwest Airlines,Flight for vacation
2024-08-25,751.53,Delta Airlines,Flight to business conference
2024-07-29,999.91,Delta Airlines,Flight to business conference
2025-05-20,231.98,Coursera,Online business course
2025-05-02,783.42,Uber,Ride to office
2024-12-28,49.86,Target,Clothing and accessories
2024-11-14,950.12,Delta Airlines,Flight to business conference
2024-08-19,840.84,Apple,MacBook purchase for work
2025-03-16,160.86,Netflix,Streaming subscription
2025-06-09,478.83,WeWork,Coworking space rental
2024-12-05,568.33,Uber,Ride to office
2025-05-09,470.38,Apple,MacBook purchase for work
2025-06-02,769.23,Staples,Office supplies
2025-05-01,609.83,WeWork,Coworking space rental
2024-11-04,721.17,Shell,Gas for car
2024-10-27,821.11,Best Buy,TV and electronics
2024-10-20,117.02,Staples,Office supplies
2025-03-17,929.6,Delta Airlines,Flight to business conference
2025-04-20,680.57,Netflix,Streaming subscription
2024-12-28,402.69,Walmart,Groceries and household supplies
2025-05-09,206.35,Shell,Gas for car
2025-01-20,693.71,Netflix,Streaming subscription
2025-07-02,250.42,Target,Clothing and accessories
2025-01-13,774.76,Shell,Gas for car
2024-08-31,687.42,Southwest Airlines,Flight for vacation
2025-03-28,129.84,Best Buy,TV and electronics
2025-06-11,784.81,Netflix,Streaming subscription
2024-12-03,537.42,Coursera,Online business course
2024-10-01,376.87,Target,Clothing and accessories
2025-05-27,651.07,Amazon,Books and home items
2025-07-19,851.08,Delta Airlines,Flight to business conference
2024-11-29,495.3,Southwest Airlines,Flight for vacation
2024-12-20,961.18,Walmart,Groceries and household supplies
2024-10-07,892.66,Target,Clothing and accessories
2025-06-04,710.24,Spotify,Monthly subscription
2025-01-31,184.38,Walmart,Groceries and household supplies
2025-04-28,965.82,Amazon,Books and home items
2025-07-13,619.75,Staples,Office supplies
2025-05-04,776.9,Amazon,Books and home items
2024-10-27,441.22,Spotify,Monthly subscription
2025-01-27,596.55,Shell,Gas for car
2025-01-28,853.2,Coursera,Online business course
2024-12-09,935.28,Southwest Airlines,Flight for vacation
2024-09-22,882.81,Staples,Office supplies
2024-09-29,752.97,Apple,MacBook purchase for work
2025-05-30,614.23,Netflix,Streaming subscription
2025-05-31,343.03,Walmart,Groceries and household supplies
2024-10-12,852.44,Spotify,Monthly subscription
2025-07-15,492.67,WeWork,Coworking space rental
2025-07-09,799.85,Coursera,Online business course
2025-06-20,286.86,Coursera,Online business course
2024-09-01,704.17,Netflix,Streaming subscription
2025-07-04,560.23,Staples,Office supplies
2025-02-09,948.58,Amazon,Books and home items
2024-11-12,248.94,Uber,Ride to office
2025-05-04,493.69,Walmart,Groceries and household supplies
2025-07-10,247.92,Best Buy,TV and electronics
2025-07-14,649.44,Spotify,Monthly subscription
2025-04-06,453.69,Spotify,Monthly subscription
2024-09-16,102.12,Delta Airlines,Flight to business conference
2024-09-06,410.36,Apple,MacBook purchase for work
2024-12-19,313.14,Apple,MacBook purchase for work
2025-06-23,375.33,Netflix,Streaming subscription
2025-06-10,535.61,Amazon,Books and home items
2024-09-06,996.67,Walmart,Groceries and household supplies
2024-08-20,337.48,Amazon,Books and home items
2025-05-04,459.21,Shell,Gas for car
2024-09-08,258.89,Staples,Office supplies
2024-11-18,724.07,Uber,Ride to office
2024-12-02,128.36,Coursera,Online business course
2024-07-31,951.37,Amazon,Books and home items
2025-03-23,193.3,Shell,Gas for car
2025-06-10,741.22,Apple,MacBook purchase for work
2025-04-24,727.34,Staples,Office supplies
2025-07-12,529.39,Best Buy,TV and electronics
2025-06-08,980.71,Staples,Office supplies
2025-07-06,202.18,Southwest Airlines,Flight for vacation
2024-10-13,367.27,Apple,MacBook purchase for work
2024-08-31,24.01,Staples,Office supplies
2025-05-13,135.32,Amazon,Books and home items
2024-11-11,974.55,Delta Airlines,Flight to business conference
2024-09-16,299.22,Amazon,Books and home items
2025-02-17,641.49,WeWork,Coworking space rental
2025-07-27,495.97,Best Buy,TV and electronics
2025-06-26,22.14,Southwest Airlines,Flight for vacation
2025-03-11,474.7,Staples,Office supplies
2024-12-14,347.3,Spotify,Monthly subscription
2024-10-13,259.95,Delta Airlines,Flight to business conference
2025-06-02,482.95,Southwest Airlines,Flight for vacation
2025-02-17,74.69,Southwest Airlines,Flight for vacation
2024-09-29,83.34,Spotify,Monthly subscription
2024-08-07,689.59,Target,Clothing and accessories
2024-08-16,157.71,WeWork,Coworking space rental
2024-10-28,949.63,Netflix,Streaming subscription
2025-04-02,993.98,Uber,Ride to office
2025-04-17,562.49,Uber,Ride to office
2025-03-04,610.25,Walmart,Groceries and household supplies
2024-12-06,622.23,Best Buy,TV and electronics
2024-08-03,527.35,Best Buy,TV and electronics
2024-10-09,909.42,Spotify,Monthly subscription
2025-02-09,861.56,Staples,Office supplies
2025-02-08,312.33,Walmart,Groceries and household supplies
2025-04-28,69.63,Netflix,Streaming subscription
2024-11-15,108.24,Shell,Gas for car
2025-06-13,215.71,Best Buy,TV and electronics
2024-10-08,272.0,Apple,MacBook purchase for work
2025-06-03,165.49,Uber,Ride to office
2025-07-28,556.47,WeWork,Coworking space rental
2025-04-26,12.65,WeWork,Coworking space rental
2024-08-26,692.48,Spotify,Monthly subscription
2025-02-13,298.35,Spotify,Monthly subscription
2025-01-18,295.22,Apple,MacBook purchase for work
2024-12-03,705.96,Staples,Office supplies
2025-03-20,80.47,Spotify,Monthly subscription
2024-09-29,924.67,Apple,MacBook purchase for work
2024-10-19,793.34,Best Buy,TV and electronics
2025-07-13,664.57,Netflix,Streaming subscription
2024-12-07,430.89,Apple,MacBook purchase for work
2025-06-16,232.56,Amazon,Books and home items
2024-08-13,909.33,WeWork,Coworking space rental
2025-04-13,150.81,Southwest Airlines,Flight for vacation
2025-02-17,174.26,Delta Airlines,Flight to business conference
2025-01-16,599.09,Staples,Office supplies
2024-09-22,573.51,Southwest Airlines,Flight for vacation
2024-11-09,444.76,Staples,Office supplies
2025-06-12,691.79,Spotify,Monthly subscription
2024-11-04,408.48,Shell,Gas for car
2024-08-13,505.47,Staples,Office supplies
2024-09-06,443.38,Spotify,Monthly subscription
2024-12-13,49.46,Netflix,Streaming subscription
2025-02-05,737.19,Walmart,Groceries and household supplies
2025-02-26,257.86,Netflix,Streaming subscription
2025-04-17,236.64,Uber,Ride to office
2024-11-14,837.6,Target,Clothing and accessories
2024-11-14,591.25,Netflix,Streaming subscription
2024-08-16,999.58,Delta Airlines,Flight to business conference
2025-03-11,823.21,Target,Clothing and accessories
2024-11-01,49.83,Netflix,Streaming subscription
2025-05-11,183.44,Best Buy,TV and electronics
2024-07-28,654.99,Amazon,Books and home items
2025-04-27,189.67,Staples,Office supplies
2024-11-21,441.53,Netflix,Streaming subscription
2025-05-20,496.81,Southwest Airlines,Flight for vacation
2025-05-12,475.31,Uber,Ride to office
2025-04-08,339.98,Walmart,Groceries and household supplies
2025-02-05,113.55,Target,Clothing and accessories
2025-05-29,336.51,WeWork,Coworking space rental
2025-02-16,500.51,Shell,Gas for car
2024-12-15,945.74,Target,Clothing and accessories
2025-01-26,762.89,Southwest Airlines,Flight for vacation
2024-11-14,460.28,Delta Airlines,Flight to business conference
2025-01-12,259.87,Coursera,Online business course
2025-06-05,970.48,Uber,Ride to office
2024-08-30,866.26,Walmart,Groceries and household supplies
2025-01-18,988.24,Southwest Airlines,Flight for vacation
2024-12-11,870.67,Target,Clothing and accessories
2025-06-05,419.12,Spotify,Monthly subscription
2024-10-04,523.25,Apple,MacBook purchase for work
2024-08-30,758.88,Netflix,Streaming subscription
2025-06-26,447.62,Target,Clothing and accessories
2024-12-10,211.52,Delta Airlines,Flight to business conference
2024-08-02,139.7,Amazon,Books and home items
2024-10-30,443.73,Staples,Office supplies
2025-03-06,489.86,Shell,Gas for car
2025-04-08,973.42,Delta Airlines,Flight to business conference
2025-07-11,801.32,Netflix,Streaming subscription
2025-02-28,166.79,Shell,Gas for car
2024-09-18,23.54,Amazon,Books and home items
2025-04-04,102.28,Walmart,Groceries and household supplies
2024-12-08,913.8,Southwest Airlines,Flight for vacation
2024-12-21,947.59,Spotify,Monthly subscription
2025-06-19,833.82,Target,Clothing and accessories
2025-07-28,933.33,Spotify,Monthly subscription
2024-11-29,513.78,Staples,Office supplies
2025-06-26,421.34,Staples,Office supplies
2024-10-02,980.44,Spotify,Monthly subscription
2024-11-22,462.22,Apple,MacBook purchase for work
2025-02-04,389.75,WeWork,Coworking space rental
2025-04-19,513.16,Netflix,Streaming subscription
2024-10-11,865.39,WeWork,Coworking space rental
2025-07-26,774.95,Staples,Office supplies
2024-10-14,420.79,Southwest Airlines,Flight for vacation
2024-09-14,512.66,Best Buy,TV and electronics
2024-10-24,12.54,Southwest Airlines,Flight for vacation
2024-09-11,305.57,Shell,Gas for car
2024-12-30,584.12,Netflix,Streaming subscription
2025-01-12,494.74,Target,Clothing and accessories
2025-06-02,452.08,WeWork,Coworking space rental
2025-07-21,351.67,Spotify,Monthly subscription
2024-08-02,765.24,Amazon,Books and home items
2025-05-19,460.79,Walmart,Groceries and household supplies
2025-03-04,870.91,Coursera,Online business course
2025-01-11,246.42,Shell,Gas for car
2025-02-19,241.23,Walmart,Groceries and household supplies
2025-03-22,416.67,Best Buy,TV and electronics
2024-11-06,747.26,Coursera,Online business course
2024-09-21,914.3,Shell,Gas for car
2025-03-30,392.22,Walmart,Groceries and household supplies
2025-02-28,794.47,Target,Clothing and accessories
2025-05-17,981.01,Target,Clothing and accessories
2025-03-06,965.18,Spotify,Monthly subscription
2025-06-27,507.27,WeWork,Coworking space rental
2025-02-22,338.67,Netflix,Streaming subscription
2024-11-27,875.45,Uber,Ride to office
2025-05-14,108.71,Spotify,Monthly subscription
2025-05-18,25.19,Spotify,Monthly subscription
2025-06-06,415.88,WeWork,Coworking space rental
2024-08-23,970.26,Target,Clothing and accessories
2025-06-27,474.8,Uber,Ride to office
2024-09-13,345.18,Staples,Office supplies
2025-04-26,403.51,Shell,Gas for car
2025-03-25,853.25,Uber,Ride to office
2025-07-22,677.61,Southwest Airlines,Flight for vacation
2025-07-16,386.21,Amazon,Books and home items
2024-08-01,630.53,Coursera,Online business course
2025-05-23,493.07,Best Buy,TV and electronics
2025-05-21,45.54,Amazon,Books and home items
2024-09-09,242.42,Uber,Ride to office
2024-12-15,921.72,Target,Clothing and accessories
2025-03-11,749.3,Apple,MacBook purchase for work
2024-08-16,978.55,Walmart,Groceries and household supplies
2024-11-04,637.41,Best Buy,TV and electronics
2024-12-13,109.5,Southwest Airlines,Flight for vacation
2025-06-02,697.06,WeWork,Coworking space rental
2024-12-21,55.53,Delta Airlines,Flight to business conference
2025-05-04,65.56,Best Buy,TV and electronics
2025-07-20,381.09,Coursera,Online business course
2025-03-19,251.76,WeWork,Coworking space rental
2024-11-02,570.27,Walmart,Groceries and household supplies
2024-08-02,188.26,Best Buy,TV and electronics
2024-10-14,88.18,WeWork,Coworking space rental
2025-06-24,388.72,Southwest Airlines,Flight for vacation
2025-03-06,248.42,Target,Clothing and accessories
2025-06-11,151.69,Netflix,Streaming subscription
2024-09-19,641.53,Spotify,Monthly subscription
2025-03-26,262.77,Spotify,Monthly subscription
2025-02-04,899.92,Delta Airlines,Flight to business conference
2024-12-27,902.2,Spotify,Monthly subscription
2025-05-17,551.13,Target,Clothing and accessories
2025-06-18,447.31,Uber,Ride to office
2025-02-11,987.78,Coursera,Online business course
2025-04-01,642.55,Staples,Office supplies
2025-04-01,693.41,Walmart,Groceries and household supplies
2024-09-13,846.85,Spotify,Monthly subscription
2024-12-19,999.38,Apple,MacBook purchase for work
2025-03-02,488.38,Southwest Airlines,Flight for vacation
2024-11-07,387.55,Apple,MacBook purchase for work
2025-07-03,579.06,Coursera,Online business course
2024-08-21,302.28,Shell,Gas for car
2025-01-05,661.65,Southwest Airlines,Flight for vacation
2024-12-10,18.02,Staples,Office supplies
2024-12-13,688.94,Southwest Airlines,Flight for vacation
2024-12-18,973.87,Shell,Gas for car
2025-06-29,747.72,Netflix,Streaming subscription
2025-05-27,905.11,Southwest Airlines,Flight for vacation
2025-02-15,777.98,Staples,Office supplies
2024-12-06,610.99,Apple,MacBook purchase for work
2025-01-14,226.81,Coursera,Online business course
2025-01-09,624.68,Apple,MacBook purchase for work
2024-11-19,758.02,Target,Clothing and accessories
2025-02-08,662.59,Best Buy,TV and electronics
2025-07-24,145.41,Southwest Airlines,Flight for vacation
